"V1","V2"
0.0615492192128384,0.0498262649174749
0.0852037149899969,0.0779407042089248
0.0341225617433744,0.0239907703094677
0.0647567936850999,0.0528618274206502
0.726951834023428,0.642949980344016
0.0219835984424497,0.0177351160017054
0.501726450482544,0.37716532158464
0.097760801390502,0.103403661207909
0.053073477379993,0.0281187791769295
0.0707722724056256,0.0455854311254051
0.0302868652992005,0.0272410479591687
0.474705847508821,0.333641469445077
0.0477645396052523,0.039954632425854
0.0571955511972855,0.0403767799379926
0.0364889598027898,0.0287409945282018
0.0681992306198318,0.0543102905943746
0.269209036435726,0.226608173345033
0.0387651927502943,0.0358266779173028
0.154474478180725,0.122086831273883
0.0251828672269854,0.0170559171164173
0.0374648800671075,0.028023012153473
0.0856331300377604,0.0741047222021904
0.0583062588227422,0.0465820844641625
0.0843419791428877,0.051259521018987
0.722050455960704,0.598179072328582
0.0569616687043779,0.0391690892083144
0.258283904950228,0.171888831526379
0.367163571851589,0.339048533306906
0.0285217253427565,0.024235776637884
0.0367352996032264,0.026771301568131
0.192572024458411,0.12993999071165
0.0259189795768247,0.0159923327249243
0.0231324044087264,0.0158918230460223
0.0419556858000127,0.0328882353635318
0.380884408781474,0.288723398993961
0.0567144902825458,0.04382476194584
0.0358979458266662,0.022924243496063
0.0322991185409476,0.0297446162936155
0.0557882086130463,0.0372726622345869
0.558956927475897,0.449823421568927
0.050508447952513,0.0315019442494955
0.591916251760423,0.459439297375497
0.325143151236593,0.222635559607878
0.0764777516235056,0.0586132405550259
0.0191195863948488,0.0192203889842966
0.0449306986430087,0.0331725671910643
0.0268722553463013,0.0220041835026947
0.0755103456915702,0.0848689373020708
0.48745436917238,0.432796044541672
